Date,AAPL,AMZN,GOOG,META,MSFT,SPY
2017-05-10,35.41155242919922,47.4474983215332,46.06084060668945,149.11978149414062,62.589027404785156,208.0000762939453
2017-05-11,35.71780014038086,47.38100051879883,46.15110397338867,148.87173461914062,61.82145309448242,207.5751953125
2017-05-12,36.21662521362305,48.067501068115234,46.2314453125,149.15948486328125,61.74922180175781,207.228271484375
2017-05-15,36.123836517333984,47.89849853515625,46.47246170043945,149.02053833007812,61.79437255859375,208.37294006347656
2017-05-16,36.07045364379883,48.30350112915039,46.766048431396484,148.61375427246094,63.038604736328125,208.18218994140625
2017-05-17,34.8593635559082,47.237998962402344,45.606571197509766,143.72215270996094,61.28579330444336,204.48814392089844
2017-05-18,35.390663146972656,47.92449951171875,46.13325119018555,146.51026916503906,61.49464797973633,205.31198120117188
2017-05-19,35.511322021484375,47.992000579833984,46.32020950317383,146.90713500976562,61.47649383544922,206.64736938476562
2017-05-22,35.72708511352539,48.53350067138672,46.70951461791992,147.08575439453125,62.16673278808594,207.69659423828125
2017-05-23,35.683006286621094,48.57699966430664,47.054683685302734,146.91705322265625,62.3756217956543,208.15615844726562
2017-05-24,35.57627487182617,49.01750183105469,47.35918426513672,148.87173461914062,62.45735168457031,208.64178466796875
2017-05-25,35.69924545288086,49.66899871826172,48.08224868774414,150.77679443359375,63.22932434082031,209.6389923095703
2017-05-26,35.638919830322266,49.78900146484375,48.17796325683594,150.94544982910156,63.53813171386719,209.5956573486328
2017-05-30,35.65284729003906,49.834999084472656,48.396663665771484,151.19351196289062,63.946834564208984,209.4135284423828
2017-05-31,35.44171142578125,49.73099899291992,47.85015106201172,150.28067016601562,63.42913818359375,209.36146545410156
2017-06-01,35.53916931152344,49.79750061035156,47.95379638671875,150.35015869140625,63.66527557373047,211.02638244628906
2017-06-02,36.06582260131836,50.33649826049805,48.38277816772461,152.4139404296875,65.17291259765625,211.72879028320312
2017-06-05,35.71316146850586,50.56700134277344,48.783485412597656,152.43377685546875,65.6451644897461,211.57269287109375
2017-06-06,35.83381652832031,50.150001525878906,48.430885314941406,151.6201629638672,65.86312866210938,210.8963165283203
2017-06-07,36.0472526550293,50.503501892089844,48.647605895996094,151.92774963378906,65.74506378173828,211.2865447998047
2017-06-08,35.959110260009766,50.51350021362305,48.770103454589844,153.50538635253906,65.34544372558594,211.390625
2017-06-09,34.564727783203125,48.91550064086914,47.10477828979492,148.43516540527344,63.8651237487793,211.0697479248047
2017-06-12,33.73877716064453,48.24549865722656,46.7610969543457,147.28419494628906,63.3746452331543,211.02638244628906
2017-06-13,34.01021194458008,49.03950119018555,47.28181838989258,149.50674438476562,64.16480255126953,212.05831909179688
2017-06-14,33.67844772338867,48.82350158691406,47.15089797973633,149.08009338378906,63.81966018676758,211.78948974609375
2017-06-15,33.47659683227539,48.208499908447266,46.73183059692383,148.6336212158203,63.48362731933594,211.3819122314453
2017-06-16,33.007938385009766,49.385501861572266,46.60636901855469,149.46705627441406,63.574459075927734,211.4281005859375
2017-06-19,33.95221710205078,49.75849914550781,47.478702545166016,151.67970275878906,64.36459350585938,213.18826293945312
2017-06-20,33.643646240234375,49.62950134277344,47.14445114135742,151.06454467773438,63.49272155761719,211.75051879882812
2017-06-21,33.84315872192383,50.11149978637695,47.581851959228516,152.7115936279297,63.81966018676758,211.6981964111328
2017-06-22,33.787498474121094,50.064998626708984,47.46481704711914,152.20555114746094,63.81060791015625,211.60238647460938
2017-06-23,33.938297271728516,50.1870002746582,47.88636016845703,153.86257934570312,64.67338562011719,211.8551025390625
2017-06-26,33.831581115722656,49.69900131225586,47.22577667236328,152.39407348632812,64.05581665039062,211.9945068359375
2017-06-27,33.3466796875,48.8390007019043,45.98893737792969,149.4075469970703,62.856990814208984,210.28659057617188
2017-06-28,33.83388900756836,49.51649856567383,46.64158248901367,152.04681396484375,63.39283752441406,212.16880798339844
2017-06-29,33.335060119628906,48.79650115966797,45.51581954956055,149.86392211914062,62.203067779541016,210.30409240722656
2017-06-30,33.41395950317383,48.400001525878906,45.06650161743164,149.8043975830078,62.602684020996094,210.69610595703125
2017-07-03,33.293304443359375,47.68299865722656,44.569087982177734,147.2742462158203,61.91242980957031,211.05343627929688
2017-07-05,33.4301872253418,48.56999969482422,45.214290618896484,149.1693878173828,62.7389030456543,211.54136657714844
2017-07-06,33.114662170410156,48.25699996948242,44.96533203125,147.66127014160156,62.275718688964844,209.60694885253906
2017-07-07,33.45109176635742,48.9379997253418,45.55549240112305,150.26083374023438,63.084022521972656,210.96630859375
2017-07-10,33.655242919921875,49.82350158691406,46.061832427978516,152.30477905273438,63.556297302246094,211.1928253173828
2017-07-11,33.7642822265625,49.70650100708008,46.12581253051758,154.06103515625,63.565364837646484,211.0359649658203
2017-07-12,33.813011169433594,50.32550048828125,46.80721664428711,157.66275024414062,64.61888885498047,212.62185668945312
2017-07-13,34.28399658203125,50.03150177001953,46.97236251831055,158.01991271972656,65.18196105957031,212.9791717529297
2017-07-14,34.57863235473633,50.09049987792969,47.41026306152344,158.7244110107422,66.09928131103516,213.97250366210938
2017-07-17,34.69929122924805,50.50199890136719,47.282806396484375,158.4862823486328,66.6169662475586,213.94631958007812
2017-07-18,34.81993103027344,51.22249984741211,47.87693405151367,161.59190368652344,66.57152557373047,214.0596160888672
2017-07-19,35.03801727294922,51.34349822998047,48.149192810058594,162.86195373535156,67.08013916015625,215.21853637695312
2017-07-20,34.88025665283203,51.435001373291016,48.01331329345703,163.2489013671875,67.40709686279297,215.31442260742188
2017-07-21,34.864013671875,51.28350067138672,48.24987030029297,163.14968872070312,67.0165786743164,215.1227264404297
2017-07-24,35.28627395629883,51.9474983215332,48.61785125732422,164.70745849609375,66.84400939941406,215.07040405273438
2017-07-25,35.43707275390625,51.993499755859375,47.147918701171875,163.9930877685547,67.37985229492188,215.59324645996094
2017-07-26,35.604122161865234,52.63999938964844,47.00410461425781,164.32049560546875,67.25269317626953,215.60191345214844
2017-07-27,34.93129348754883,52.29999923706055,46.32417678833008,169.11288452148438,66.44438934326172,215.40147399902344
2017-07-28,34.685367584228516,51.00199890136719,46.69315719604492,171.10720825195312,66.33540344238281,215.14883422851562
2017-07-31,34.506717681884766,49.388999938964844,46.146148681640625,167.9321746826172,66.026611328125,215.02685546875
2017-08-01,34.81296920776367,49.80950164794922,46.162513732910156,168.53741455078125,65.91763305664062,215.5060272216797
2017-08-02,36.45791244506836,49.794498443603516,46.140682220458984,167.9817352294922,65.62699890136719,215.61062622070312
2017-08-03,36.09366989135742,49.34600067138672,45.806434631347656,167.27728271484375,65.5271224975586,215.1924285888672
2017-08-04,36.283912658691406,49.37900161743164,46.02017593383789,168.2992706298828,66.00845336914062,215.58453369140625
2017-08-07,36.845367431640625,49.61349868774414,46.08960723876953,170.64088439941406,65.75415802001953,215.98533630371094
2017-08-08,37.14002227783203,49.492000579833984,45.962154388427734,169.896728515625,66.10836029052734,215.45375061035156
2017-08-09,37.36738586425781,49.10049819946289,45.76923751831055,169.8471221923828,65.81774139404297,215.44505310058594
2017-08-10,36.17716598510742,47.84600067138672,44.99261474609375,166.09654235839844,64.85502624511719,212.40403747558594
2017-08-11,36.68027114868164,48.39950180053711,45.347198486328125,166.77127075195312,65.84495544433594,212.71774291992188
2017-08-14,37.2322998046875,49.165000915527344,45.75783157348633,169.42047119140625,66.83491516113281,214.82644653320312
2017-08-15,37.63991165161133,49.137001037597656,45.73551940917969,169.66854858398438,66.8531723022461,214.80018615722656
2017-08-16,37.48851776123047,48.909000396728516,45.970577239990234,168.67630004882812,67.24580383300781,215.17498779296875
2017-08-17,36.76877975463867,48.028499603271484,45.178096771240234,165.61038208007812,66.1044692993164,211.82020568847656
2017-08-18,36.6849365234375,47.923500061035156,45.1627197265625,166.10650634765625,66.18663024902344,211.4890899658203
2017-08-21,36.617393493652344,47.66450119018555,44.96385192871094,166.4735870361328,65.8762435913086,211.6546173095703
2017-08-22,37.21599197387695,48.345001220703125,45.858009338378906,168.31910705566406,66.79839324951172,213.86793518066406
2017-08-23,37.2625846862793,47.900001525878906,45.97256851196289,167.39634704589844,66.39666748046875,213.10113525390625
2017-08-24,37.097198486328125,47.622501373291016,45.688899993896484,166.43389892578125,66.36927795410156,212.6044464111328
2017-08-25,37.23463439941406,47.26300048828125,45.421592712402344,165.02496337890625,66.48796081542969,213.10113525390625
2017-08-28,37.60962677001953,47.30099868774414,45.31843948364258,165.9378204345703,66.4970932006836,213.10986328125
2017-08-29,37.94504165649414,47.702999114990234,45.689395904541016,166.74148559570312,66.69795989990234,213.35382080078125
2017-08-30,38.04751205444336,48.37950134277344,46.10002136230469,168.59693908691406,67.57449340820312,214.3645477294922
2017-08-31,38.19892501831055,49.029998779296875,46.58405303955078,170.63096618652344,68.26839447021484,215.6542205810547
2017-09-01,38.21056365966797,48.912498474121094,46.485355377197266,170.6805877685547,67.51057434082031,215.95921325683594
2017-09-05,37.751708984375,48.26350021362305,46.04447937011719,169.3907012939453,67.2092514038086,214.40814208984375
2017-09-06,37.712120056152344,48.38999938964844,46.01273727416992,170.7500457763672,67.01752471923828,215.14010620117188
2017-09-07,37.560726165771484,48.9734992980957,46.41642761230469,171.86131286621094,67.87580108642578,215.11395263671875
2017-09-08,36.94813919067383,48.29499816894531,45.9477653503418,169.618896484375,67.5470962524414,214.86129760742188
2017-09-11,37.616615295410156,48.89799880981445,46.075721740722656,172.1589813232422,68.25924682617188,217.1529998779297
2017-09-12,37.46753692626953,49.12900161743164,46.22400665283203,171.61326599121094,68.18621826171875,217.88491821289062
2017-09-13,37.185699462890625,49.97999954223633,46.373775482177734,171.70257568359375,68.67012023925781,217.98947143554688
